Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA Amp.
High Voltage:	550
Conversion Gain:	1024
Coarse Gain:	32
Fine Gain:	1.492
ULD:	100.0%
LLD:	0.0%
Calibration Coefficients:	-4.14632	1.54478	0.000139447
Channels used to calibrate:	51	324	773
Energies used to calibrate:	75	511	1273.29
Real Time Elapsed:	1924.55
Live Time Elapsed:	22.04
Start Time:	08/05/2017 13:40:26
Stop Time:	08/05/2017 14:12:36

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	7476625
1	11764317
2	6076739
3	121087
4	15043
5	10565
6	9761
7	11060
8	6759
9	3514
10	2583
11	712
12	399
13	438
14	414
15	404
16	420
17	446
18	1068
19	1026
20	1211
21	1347
22	345
23	137
24	110
25	91
26	114
27	255
28	1987
29	1698
30	144
31	126
32	108
33	122
34	128
35	131
36	125
37	143
38	152
39	153
40	157
41	174
42	218
43	203
44	210
45	244
46	279
47	294
48	320
49	323
50	332
51	377
52	385
53	353
54	390
55	366
56	423
57	343
58	360
59	384
60	385
61	353
62	339
63	349
64	356
65	355
66	343
67	333
68	330
69	354
70	312
71	345
72	369
73	383
74	384
75	443
76	493
77	505
78	604
79	650
80	821
81	842
82	828
83	964
84	895
85	954
86	946
87	936
88	892
89	849
90	841
91	750
92	674
93	619
94	554
95	436
96	422
97	344
98	299
99	285
100	251
101	212
102	200
103	195
104	189
105	147
106	133
107	130
108	114
109	118
110	131
111	94
112	116
113	99
114	108
115	95
116	112
117	120
118	99
119	121
120	84
121	97
122	88
123	83
124	96
125	91
126	108
127	86
128	95
129	85
130	100
131	83
132	87
133	82
134	88
135	103
136	92
137	70
138	90
139	78
140	76
141	91
142	79
143	79
144	94
145	107
146	77
147	78
148	80
149	79
150	67
151	97
152	65
153	78
154	61
155	77
156	75
157	73
158	70
159	70
160	63
161	67
162	52
163	71
164	50
165	64
166	62
167	47
168	62
169	49
170	54
171	58
172	57
173	51
174	50
175	55
176	52
177	40
178	46
179	55
180	59
181	54
182	46
183	56
184	56
185	60
186	55
187	56
188	58
189	50
190	46
191	45
192	38
193	51
194	49
195	59
196	49
197	49
198	46
199	27
200	38
201	44
202	48
203	47
204	47
205	34
206	53
207	39
208	44
209	42
210	43
211	24
212	38
213	39
214	36
215	36
216	36
217	40
218	47
219	34
220	29
221	41
222	47
223	23
224	42
225	33
226	38
227	30
228	40
229	42
230	34
231	33
232	27
233	36
234	34
235	36
236	40
237	33
238	27
239	36
240	33
241	30
242	37
243	22
244	37
245	28
246	31
247	34
248	26
249	32
250	29
251	32
252	19
253	35
254	26
255	35
256	29
257	34
258	29
259	19
260	29
261	35
262	28
263	16
264	35
265	21
266	22
267	25
268	38
269	27
270	31
271	23
272	22
273	26
274	24
275	23
276	23
277	35
278	26
279	24
280	26
281	24
282	20
283	22
284	26
285	28
286	19
287	24
288	25
289	22
290	22
291	22
292	27
293	15
294	19
295	20
296	23
297	28
298	27
299	22
300	18
301	17
302	24
303	33
304	26
305	21
306	14
307	21
308	26
309	30
310	16
311	24
312	36
313	29
314	15
315	14
316	24
317	30
318	26
319	24
320	30
321	19
322	22
323	22
324	17
325	27
326	27
327	28
328	16
329	20
330	25
331	18
332	16
333	19
334	15
335	21
336	28
337	24
338	22
339	26
340	23
341	19
342	10
343	13
344	13
345	17
346	24
347	17
348	18
349	20
350	24
351	29
352	26
353	25
354	20
355	12
356	24
357	18
358	24
359	17
360	16
361	22
362	15
363	11
364	22
365	15
366	16
367	17
368	23
369	21
370	15
371	17
372	13
373	16
374	17
375	17
376	17
377	14
378	18
379	14
380	17
381	15
382	15
383	9
384	16
385	20
386	12
387	12
388	11
389	12
390	20
391	16
392	9
393	19
394	18
395	8
396	16
397	10
398	17
399	29
400	18
401	17
402	13
403	20
404	15
405	14
406	13
407	27
408	9
409	10
410	12
411	12
412	7
413	19
414	18
415	9
416	17
417	21
418	16
419	12
420	22
421	15
422	17
423	7
424	11
425	10
426	14
427	17
428	11
429	24
430	11
431	17
432	8
433	12
434	18
435	12
436	15
437	11
438	16
439	8
440	16
441	12
442	13
443	14
444	14
445	18
446	10
447	9
448	9
