Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA Amp.
High Voltage:	550
Conversion Gain:	1024
Coarse Gain:	32
Fine Gain:	1.492
ULD:	100.0%
LLD:	0.0%
Calibration Coefficients:	-4.14632	1.54478	0.000139447
Channels used to calibrate:	51	324	773
Energies used to calibrate:	75	511	1273.29
Real Time Elapsed:	2082.41
Live Time Elapsed:	24.03
Start Time:	08/05/2017 14:50:03
Stop Time:	08/05/2017 15:24:31

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	13978224
1	14079876
2	7617771
3	131542
4	16738
5	11514
6	10818
7	11953
8	7462
9	3791
10	2865
11	781
12	389
13	405
14	412
15	474
16	416
17	463
18	1056
19	1085
20	1262
21	1418
22	381
23	108
24	102
25	112
26	97
27	182
28	1815
29	2198
30	180
31	109
32	114
33	128
34	124
35	131
36	151
37	168
38	168
39	187
40	170
41	179
42	213
43	211
44	237
45	286
46	283
47	323
48	311
49	343
50	359
51	374
52	380
53	417
54	375
55	402
56	412
57	396
58	386
59	397
60	403
61	391
62	380
63	386
64	390
65	373
66	367
67	399
68	359
69	379
70	384
71	359
72	396
73	376
74	442
75	509
76	553
77	641
78	652
79	778
80	829
81	870
82	912
83	979
84	1016
85	1021
86	1070
87	948
88	969
89	915
90	828
91	746
92	672
93	596
94	537
95	440
96	432
97	359
98	303
99	296
100	281
101	235
102	214
103	201
104	184
105	151
106	145
107	152
108	141
109	122
110	132
111	122
112	110
113	103
114	106
115	105
116	104
117	87
118	97
119	70
120	100
121	107
122	104
123	99
124	94
125	96
126	93
127	90
128	89
129	100
130	93
131	119
132	96
133	98
134	97
135	101
136	96
137	100
138	101
139	82
140	90
141	98
142	97
143	75
144	102
145	93
146	95
147	82
148	93
149	78
150	85
151	72
152	72
153	70
154	69
155	71
156	70
157	58
158	60
159	62
160	79
161	81
162	70
163	50
164	60
165	64
166	65
167	51
168	59
169	62
170	59
171	63
172	49
173	72
174	56
175	56
176	65
177	59
178	58
179	56
180	48
181	60
182	46
183	51
184	45
185	43
186	45
187	62
188	51
189	51
190	50
191	55
192	52
193	48
194	53
195	49
196	48
197	35
198	54
199	59
200	57
201	53
202	47
203	44
204	41
205	39
206	50
207	41
208	44
209	50
210	36
211	37
212	39
213	41
214	36
215	40
216	37
217	41
218	47
219	34
220	44
221	39
222	31
223	33
224	42
225	40
226	38
227	45
228	46
229	42
230	54
231	40
232	30
233	41
234	41
235	45
236	33
237	29
238	46
239	39
240	32
241	24
242	21
243	39
244	44
245	31
246	33
247	26
248	37
249	29
250	43
251	29
252	29
253	28
254	30
255	34
256	27
257	33
258	26
259	32
260	29
261	22
262	43
263	27
264	24
265	30
266	25
267	28
268	22
269	24
270	31
271	22
272	25
273	24
274	25
275	16
276	23
277	29
278	24
279	20
280	27
281	35
282	26
283	25
284	28
285	34
286	34
287	32
288	24
289	29
290	22
291	32
292	21
293	25
294	25
295	23
296	26
297	23
298	37
299	28
300	30
301	29
302	22
303	26
304	33
305	27
306	27
307	21
308	33
309	33
310	23
311	22
312	30
313	22
314	20
315	32
316	28
317	25
318	30
319	22
320	33
321	23
322	21
323	27
324	37
325	21
326	26
327	25
328	23
329	30
330	23
331	24
332	18
333	25
334	31
335	30
336	24
337	27
338	25
339	20
340	18
341	25
342	20
343	25
344	28
345	26
346	17
347	29
348	15
349	23
350	27
351	22
352	20
353	18
354	24
355	23
356	18
357	23
358	25
359	25
360	18
361	19
362	27
363	14
364	15
365	22
366	21
367	18
368	22
369	18
370	20
371	25
372	24
373	17
374	15
375	16
376	22
377	25
378	14
379	19
380	15
381	16
382	16
383	18
384	26
385	15
386	11
387	25
388	21
389	15
390	20
391	13
392	18
393	27
394	16
395	21
396	19
397	9
398	20
399	15
400	16
401	22
402	24
403	12
404	14
405	19
406	20
407	16
408	25
409	18
410	13
411	9
412	19
413	10
414	16
415	16
416	15
417	17
418	17
419	24
420	16
421	22
422	13
423	18
424	24
425	16
426	18
427	22
428	14
429	15
430	18
431	17
432	25
433	16
434	10
435	17
436	19
437	13
438	15
439	17
440	17
441	17
442	22
443	14
444	13
445	15
446	10
447	12
