Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA Amp.
High Voltage:	550
Conversion Gain:	1024
Coarse Gain:	32
Fine Gain:	1.492
ULD:	100.0%
LLD:	0.0%
Calibration Coefficients:	-4.14632	1.54478	0.000139447
Channels used to calibrate:	51	324	773
Energies used to calibrate:	75	511	1273.29
Real Time Elapsed:	1280.51
Live Time Elapsed:	17.83
Start Time:	08/05/2017 10:28:46
Stop Time:	08/05/2017 10:50:20

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	15099934
1	2611858
2	15691777
3	100800
4	12524
5	8934
6	8725
7	9081
8	5137
9	3496
10	2210
11	1081
12	1064
13	1069
14	1187
15	1243
16	1512
17	2709
18	3395
19	3822
20	4271
21	3065
22	2805
23	2937
24	2988
25	2858
26	4046
27	22186
28	19321
29	2118
30	1111
31	907
32	754
33	641
34	647
35	588
36	588
37	578
38	575
39	582
40	613
41	615
42	689
43	771
44	701
45	824
46	884
47	794
48	861
49	832
50	859
51	848
52	884
53	886
54	851
55	836
56	781
57	753
58	743
59	720
60	646
61	660
62	658
63	617
64	560
65	591
66	567
67	609
68	539
69	528
70	554
71	558
72	559
73	494
74	568
75	529
76	538
77	527
78	515
79	553
80	558
81	542
82	527
83	534
84	524
85	498
86	533
87	509
88	534
89	537
90	566
91	556
92	567
93	556
94	561
95	548
96	560
97	544
98	528
99	569
100	526
101	545
102	534
103	569
104	553
105	584
106	560
107	552
108	567
109	622
110	557
111	636
112	576
113	559
114	584
115	604
116	609
117	633
118	627
119	661
120	635
121	604
122	697
123	636
124	641
125	699
126	732
127	673
128	680
129	725
130	709
131	709
132	703
133	723
134	685
135	680
136	679
137	699
138	653
139	717
140	699
141	708
142	697
143	727
144	698
145	649
146	677
147	703
148	681
149	684
150	704
151	675
152	674
153	637
154	650
155	657
156	668
157	689
158	634
159	653
160	687
161	656
162	651
163	644
164	669
165	640
166	651
167	624
168	668
169	628
170	616
171	631
172	608
173	634
174	604
175	629
176	566
177	599
178	598
179	537
180	560
181	594
182	534
183	590
184	539
185	544
186	551
187	509
188	510
189	498
190	506
191	516
192	532
193	515
194	487
195	540
196	516
197	497
198	487
199	481
200	498
201	456
202	463
203	498
204	483
205	494
206	454
207	501
208	454
209	478
210	471
211	456
212	452
213	449
214	434
215	449
216	448
217	435
218	432
219	458
220	415
221	442
222	414
223	439
224	423
225	414
226	448
227	408
228	383
229	453
230	432
231	436
232	378
233	413
234	434
235	409
236	399
237	417
238	395
239	388
240	421
241	341
242	373
243	409
244	423
245	439
246	418
247	394
248	427
249	385
250	367
251	402
252	402
253	387
254	427
255	407
256	378
257	396
258	399
259	392
260	391
261	374
262	377
263	369
264	390
265	384
266	401
267	345
268	425
269	365
270	375
271	354
272	348
273	368
274	352
275	374
276	383
277	366
278	369
279	402
280	340
281	358
282	354
283	355
284	405
285	329
286	369
287	328
288	349
289	323
290	364
291	347
292	343
293	300
294	336
295	307
296	322
297	302
298	321
299	287
300	286
301	291
302	287
303	263
304	279
305	227
306	246
307	261
308	225
309	187
310	205
311	198
312	187
313	204
314	187
315	169
316	173
317	183
318	157
319	165
320	154
321	159
322	143
323	152
324	132
325	155
326	162
327	120
328	124
329	118
330	142
331	121
332	120
333	122
334	124
335	127
336	121
337	111
338	120
339	134
340	140
341	123
342	124
343	134
344	127
345	105
346	129
347	127
348	138
349	116
350	125
351	142
352	132
353	145
354	131
355	165
356	169
357	180
358	154
359	195
360	177
361	182
362	200
363	190
364	228
365	216
366	184
367	232
368	270
369	269
370	256
371	279
372	280
373	292
374	326
375	373
376	361
377	359
378	405
379	377
380	399
381	456
382	454
383	419
384	444
385	496
386	533
387	524
388	546
389	560
390	590
391	600
392	612
393	688
394	759
395	697
396	726
397	814
398	768
399	822
400	798
401	878
402	843
403	883
404	919
405	929
406	993
407	979
408	1016
409	964
410	949
411	1031
412	1077
413	1036
414	1047
415	1063
416	1059
417	1068
418	1052
419	1071
420	1034
421	1037
422	1034
423	1002
424	984
425	975
426	1023
427	906
428	990
429	932
430	959
431	855
432	791
433	822
434	813
435	775
436	709
437	740
438	679
439	655
440	605
441	607
