Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA Amp.
High Voltage:	550
Conversion Gain:	1024
Coarse Gain:	32
Fine Gain:	1.492
ULD:	100.0%
LLD:	0.0%
Calibration Coefficients:	-4.14632	1.54478	0.000139447
Channels used to calibrate:	51	324	773
Energies used to calibrate:	75	511	1273.29
Real Time Elapsed:	1432.61
Live Time Elapsed:	19.88
Start Time:	08/05/2017 12:24:56
Stop Time:	08/05/2017 12:48:54

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	4864154
1	4431522
2	563967
3	110365
4	13801
5	9815
6	9250
7	10526
8	6493
9	4017
10	3038
11	1303
12	1139
13	1096
14	1206
15	1306
16	1377
17	1705
18	3447
19	3526
20	3963
21	3587
22	2128
23	2002
24	1925
25	2029
26	1821
27	7143
28	30484
29	11432
30	1140
31	818
32	771
33	708
34	637
35	655
36	661
37	663
38	626
39	650
40	708
41	728
42	723
43	786
44	807
45	873
46	929
47	936
48	981
49	926
50	1018
51	1010
52	1019
53	960
54	935
55	966
56	930
57	860
58	824
59	815
60	780
61	764
62	723
63	725
64	671
65	680
66	668
67	645
68	642
69	656
70	642
71	594
72	647
73	628
74	580
75	580
76	600
77	623
78	617
79	614
80	650
81	610
82	617
83	643
84	627
85	609
86	639
87	672
88	613
89	651
90	631
91	675
92	655
93	677
94	652
95	660
96	676
97	582
98	660
99	654
100	612
101	657
102	672
103	686
104	653
105	653
106	648
107	659
108	693
109	710
110	666
111	706
112	735
113	686
114	771
115	711
116	683
117	715
118	755
119	738
120	722
121	768
122	749
123	761
124	717
125	815
126	803
127	754
128	804
129	824
130	708
131	804
132	769
133	793
134	805
135	790
136	811
137	764
138	781
139	765
140	774
141	747
142	757
143	739
144	794
145	730
146	738
147	777
148	825
149	769
150	763
151	744
152	780
153	742
154	772
155	777
156	773
157	737
158	749
159	828
160	744
161	802
162	789
163	799
164	727
165	725
166	748
167	738
168	675
169	755
170	696
171	767
172	751
173	737
174	736
175	680
176	688
177	703
178	713
179	709
180	681
181	615
182	680
183	651
184	679
185	674
186	627
187	616
188	640
189	630
190	634
191	628
192	563
193	632
194	596
195	610
196	607
197	588
198	585
199	552
200	588
201	575
202	601
203	571
204	545
205	532
206	563
207	580
208	521
209	532
210	520
211	537
212	513
213	545
214	517
215	541
216	522
217	529
218	500
219	484
220	507
221	516
222	498
223	488
224	488
225	487
226	483
227	495
228	484
229	463
230	523
231	467
232	491
233	449
234	500
235	462
236	456
237	463
238	480
239	436
240	465
241	452
242	464
243	478
244	452
245	493
246	490
247	470
248	444
249	420
250	475
251	491
252	442
253	446
254	469
255	437
256	479
257	475
258	451
259	449
260	439
261	434
262	454
263	421
264	421
265	469
266	421
267	426
268	431
269	414
270	410
271	446
272	445
273	424
274	418
275	389
276	413
277	420
278	425
279	441
280	403
281	385
282	394
283	427
284	376
285	365
286	379
287	411
288	376
289	362
290	387
291	346
292	364
293	345
294	378
295	349
296	378
297	300
298	310
299	327
300	296
301	300
302	314
303	289
304	280
305	264
306	290
307	267
308	269
309	227
310	269
311	218
312	241
313	220
314	217
315	213
316	228
317	187
318	192
319	170
320	180
321	182
322	170
323	181
324	197
325	152
326	165
327	178
328	162
329	155
330	158
331	165
332	157
333	136
334	141
335	145
336	142
337	178
338	148
339	175
340	138
341	130
342	134
343	129
344	154
345	153
346	138
347	163
348	164
349	179
350	169
351	190
352	201
353	203
354	179
355	181
356	186
357	204
358	196
359	184
360	230
361	220
362	208
363	268
364	268
365	273
366	271
367	273
368	256
369	308
370	293
371	278
372	337
373	377
374	347
375	397
376	383
377	427
378	454
379	456
380	474
381	480
382	499
383	559
384	539
385	561
386	641
387	654
388	644
389	708
390	704
391	731
392	742
393	817
394	768
395	760
396	790
397	872
398	878
399	882
400	934
401	965
402	974
403	1026
404	999
405	1012
406	1057
407	1010
408	1002
409	1065
410	1162
411	1078
412	1183
413	1098
414	1123
415	1148
416	1154
417	1097
418	1126
419	1185
420	1127
421	1079
422	1018
423	1051
424	1016
425	1012
426	1097
427	1022
428	955
429	941
430	925
431	936
432	865
433	866
434	755
435	811
436	709
437	718
438	642
