Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA Amp.
High Voltage:	550
Conversion Gain:	1024
Coarse Gain:	32
Fine Gain:	1.492
ULD:	100.0%
LLD:	0.0%
Calibration Coefficients:	-4.14632	1.54478	0.000139447
Channels used to calibrate:	51	324	773
Energies used to calibrate:	75	511	1273.29
Real Time Elapsed:	1229.34
Live Time Elapsed:	16.68
Start Time:	08/05/2017 12:00:28
Stop Time:	08/05/2017 12:21:54

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	13701766
1	1471764
2	14896545
3	90509
4	11305
5	8059
6	7655
7	8568
8	5111
9	3118
10	2289
11	1014
12	845
13	830
14	909
15	931
16	951
17	1150
18	2278
19	2043
20	2356
21	1714
22	641
23	444
24	458
25	500
26	445
27	5967
28	23400
29	6826
30	588
31	486
32	466
33	484
34	485
35	500
36	506
37	499
38	501
39	526
40	522
41	555
42	565
43	628
44	641
45	698
46	778
47	833
48	872
49	852
50	908
51	966
52	1013
53	1064
54	1032
55	984
56	970
57	922
58	852
59	849
60	763
61	697
62	691
63	630
64	637
65	592
66	502
67	519
68	501
69	456
70	482
71	444
72	455
73	430
74	442
75	442
76	463
77	424
78	470
79	446
80	415
81	430
82	415
83	454
84	477
85	412
86	460
87	438
88	468
89	497
90	427
91	462
92	436
93	444
94	479
95	451
96	464
97	446
98	451
99	464
100	448
101	464
102	442
103	487
104	528
105	439
106	435
107	500
108	469
109	483
110	515
111	444
112	513
113	448
114	504
115	493
116	474
117	541
118	492
119	494
120	516
121	467
122	500
123	515
124	519
125	556
126	568
127	560
128	537
129	535
130	501
131	593
132	547
133	496
134	511
135	596
136	544
137	537
138	530
139	585
140	552
141	553
142	556
143	526
144	579
145	546
146	584
147	534
148	582
149	587
150	528
151	596
152	557
153	610
154	578
155	581
156	556
157	582
158	567
159	554
160	590
161	545
162	576
163	597
164	596
165	586
166	564
167	551
168	535
169	529
170	559
171	560
172	583
173	555
174	533
175	556
176	540
177	521
178	499
179	546
180	502
181	492
182	456
183	483
184	467
185	500
186	509
187	500
188	537
189	493
190	503
191	490
192	445
193	463
194	460
195	471
196	494
197	451
198	462
199	489
200	439
201	413
202	480
203	433
204	423
205	443
206	411
207	412
208	463
209	441
210	462
211	440
212	425
213	438
214	420
215	453
216	431
217	408
218	409
219	426
220	420
221	395
222	421
223	421
224	403
225	408
226	393
227	423
228	413
229	397
230	420
231	394
232	371
233	444
234	413
235	416
236	375
237	390
238	388
239	381
240	378
241	363
242	374
243	385
244	392
245	371
246	372
247	348
248	364
249	379
250	360
251	367
252	376
253	403
254	348
255	352
256	401
257	389
258	370
259	399
260	365
261	379
262	337
263	383
264	359
265	327
266	330
267	377
268	334
269	377
270	358
271	311
272	362
273	372
274	315
275	312
276	361
277	358
278	336
279	328
280	338
281	326
282	326
283	334
284	365
285	311
286	314
287	300
288	286
289	308
290	264
291	319
292	293
293	301
294	313
295	289
296	281
297	263
298	242
299	257
300	265
301	258
302	229
303	237
304	235
305	228
306	211
307	214
308	222
309	222
310	196
311	214
312	204
313	209
314	160
315	194
316	189
317	162
318	175
319	155
320	134
321	156
322	161
323	150
324	144
325	126
326	153
327	130
328	124
329	109
330	118
331	146
332	114
333	99
334	125
335	124
336	115
337	131
338	123
339	134
340	111
341	127
342	111
343	129
344	143
345	128
346	109
347	133
348	144
349	139
350	144
351	163
352	156
353	142
354	148
355	159
356	142
357	162
358	153
359	177
360	172
361	201
362	189
363	180
364	193
365	214
366	211
367	221
368	225
369	240
370	234
371	273
372	280
373	288
374	296
375	298
376	303
377	330
378	328
379	341
380	389
381	367
382	408
383	417
384	415
385	436
386	482
387	514
388	500
389	498
390	558
391	552
392	541
393	620
394	606
395	701
396	634
397	663
398	682
399	689
400	729
401	768
402	728
403	803
404	767
405	811
406	821
407	838
408	864
409	830
410	872
411	882
412	819
413	889
414	883
415	866
416	860
417	909
418	931
419	923
420	856
421	880
422	849
423	827
424	867
425	832
426	733
427	841
428	775
429	755
430	775
431	677
432	664
433	700
434	655
435	628
436	647
437	592
438	582
439	524
440	479
441	489
442	463
443	402
444	356
445	362
446	325
447	343
