19.82 eV | 1s^12s^1 | ^3S | 1 | +1
20.616 eV | 1s^12s^1 | ^1S | 0 | +1
20.964 eV | 1s^12p^1 | ^3P° | 2 | -1
20.964 eV | 1s^12p^1 | ^3P° | 1 | -1
20.964 eV | 1s^12p^1 | ^3P° | 0 | -1
21.218 eV | 1s^12p^1 | ^1P° | 1 | -1
22.718 eV | 1s^13s^1 | ^3S | 1 | +1
22.92 eV | 1s^13s^1 | ^1S | 0 | +1
23.007 eV | 1s^13p^1 | ^3P° | 2 | -1
23.007 eV | 1s^13p^1 | ^3P° | 1 | -1
23.007 eV | 1s^13p^1 | ^3P° | 0 | -1
23.074 eV | 1s^13d^1 | ^3D | 3 | +1
23.074 eV | 1s^13d^1 | ^3D | 2 | +1
23.074 eV | 1s^13d^1 | ^3D | 1 | +1
23.074 eV | 1s^13d^1 | ^1D | 2 | +1
23.087 eV | 1s^13p^1 | ^1P° | 1 | -1
23.594 eV | 1s^14s^1 | ^3S | 1 | +1
23.674 eV | 1s^14s^1 | ^1S | 0 | +1
23.708 eV | 1s^14p^1 | ^3P° | 2 | -1
23.708 eV | 1s^14p^1 | ^3P° | 1 | -1
23.708 eV | 1s^14p^1 | ^3P° | 0 | -1
23.736 eV | 1s^14d^1 | ^3D | 3 | +1
23.736 eV | 1s^14d^1 | ^3D | 2 | +1
23.736 eV | 1s^14d^1 | ^3D | 1 | +1
23.736 eV | 1s^14d^1 | ^1D | 2 | +1
23.737 eV | 1s^14f^1 | ^3F° | 3 | -1
23.737 eV | 1s^14f^1 | ^3F° | 4 | -1
23.737 eV | 1s^14f^1 | ^3F° | 2 | -1
23.737 eV | 1s^14f^1 | ^1F° | 3 | -1
23.742 eV | 1s^14p^1 | ^1P° | 1 | -1
23.972 eV | 1s^15s^1 | ^3S | 1 | +1
24.011 eV | 1s^15s^1 | ^1S | 0 | +1
24.028 eV | 1s^15p^1 | ^3P° | 2 | -1
24.028 eV | 1s^15p^1 | ^3P° | 1 | -1
24.028 eV | 1s^15p^1 | ^3P° | 0 | -1
24.043 eV | 1s^15d^1 | ^3D | 3 | +1
24.043 eV | 1s^15d^1 | ^3D | 2 | +1
24.043 eV | 1s^15d^1 | ^3D | 1 | +1
24.043 eV | 1s^15d^1 | ^1D | 2 | +1
24.043 eV | 1s^15f^1 | ^3F° | 3 | -1
24.043 eV | 1s^15f^1 | ^3F° | 4 | -1
24.043 eV | 1s^15f^1 | ^3F° | 2 | -1
24.043 eV | 1s^15f^1 | ^1F° | 3 | -1
24.043 eV | 1s^15g^1 | ^3G | 4 | +1
24.043 eV | 1s^15g^1 | ^3G | 5 | +1
24.043 eV | 1s^15g^1 | ^3G | 3 | +1
24.043 eV | 1s^15g^1 | ^1G | 4 | +1
24.046 eV | 1s^15p^1 | ^1P° | 1 | -1
24.169 eV | 1s^16s^1 | ^3S | 1 | +1
24.191 eV | 1s^16s^1 | ^1S | 0 | +1
24.201 eV | 1s^16p^1 | ^3P° | 2 | -1
24.201 eV | 1s^16p^1 | ^3P° | 1 | -1
24.201 eV | 1s^16p^1 | ^3P° | 0 | -1
24.209 eV | 1s^16d^1 | ^3D | 3 | +1
24.209 eV | 1s^16d^1 | ^3D | 2 | +1
24.209 eV | 1s^16d^1 | ^3D | 1 | +1
24.209 eV | 1s^16d^1 | ^1D | 2 | +1
24.209 eV | 1s^16f^1 | ^3F° | 3 | -1
24.209 eV | 1s^16f^1 | ^3F° | 4 | -1
24.209 eV | 1s^16f^1 | ^3F° | 2 | -1
24.209 eV | 1s^16f^1 | ^1F° | 3 | -1
24.209 eV | 1s^16g^1 | ^3G | 4 | +1
24.209 eV | 1s^16g^1 | ^3G | 5 | +1
24.209 eV | 1s^16g^1 | ^3G | 3 | +1
24.209 eV | 1s^16g^1 | ^1G | 4 | +1
24.21 eV | 1s^16h^1 | ^3H° | 5 | -1
24.21 eV | 1s^16h^1 | ^3H° | 6 | -1
24.21 eV | 1s^16h^1 | ^3H° | 4 | -1
24.21 eV | 1s^16h^1 | ^1H° | 5 | -1
24.211 eV | 1s^16p^1 | ^1P° | 1 | -1
24.285 eV | 1s^17s^1 | ^3S | 1 | +1
24.298 eV | 1s^17s^1 | ^1S | 0 | +1
24.304 eV | 1s^17p^1 | ^3P° | 2 | -1
24.304 eV | 1s^17p^1 | ^3P° | 1 | -1
24.304 eV | 1s^17p^1 | ^3P° | 0 | -1
24.31 eV | 1s^17d^1 | ^3D | 3 | +1
24.31 eV | 1s^17d^1 | ^3D | 2 | +1
24.31 eV | 1s^17d^1 | ^3D | 1 | +1
24.31 eV | 1s^17d^1 | ^1D | 2 | +1
24.31 eV | 1s^17f^1 | ^3F° | 3 | -1
24.31 eV | 1s^17f^1 | ^3F° | 4 | -1
24.31 eV | 1s^17f^1 | ^3F° | 2 | -1
24.31 eV | 1s^17f^1 | ^1F° | 3 | -1
24.31 eV | 1s^17g^1 | ^3G | 4 | +1
24.31 eV | 1s^17g^1 | ^3G | 5 | +1
24.31 eV | 1s^17g^1 | ^3G | 3 | +1
24.31 eV | 1s^17g^1 | ^1G | 4 | +1
24.31 eV | 1s^17h^1 | ^3H° | 5 | -1
24.31 eV | 1s^17h^1 | ^3H° | 6 | -1
